dataset,issue_type,count,notes
announcements,row_count,2530,
announcements,column_count,29,
announcements,duplicate_newsid,0,
announcements,duplicate_rows,0,
announcements,unmapped_scrip,0,
announcements,missing_QUARTER_ID,2530,
announcements,missing_ATTACHMENTNAME,20,
announcements,missing_MORE,2147,
announcements,missing_News_submission_dt,28,
announcements,missing_TimeDiff,28,
announcements,missing_Fld_Attachsize,26,
announcements,missing_SUBCATNAME,4,
announcements,missing_BSENewsid,2479,
announcements,missing_Investor_Presentation,2479,
announcements,missing_AUDIO_VIDEO_FILE,2479,
RELIANCE,row_count,277510,
RELIANCE,unique_sessions,744,
RELIANCE,unsorted_timestamps,0,
RELIANCE,duplicate_timestamps,0,
RELIANCE,invalid_ohlc,0,
RELIANCE,negative_volume,0,
RELIANCE,zero_volume,190,
RELIANCE,intraday_gaps_gt_1min,4,
HDFCBANK,row_count,277510,
HDFCBANK,unique_sessions,744,
HDFCBANK,unsorted_timestamps,0,
HDFCBANK,duplicate_timestamps,0,
HDFCBANK,invalid_ohlc,1,
HDFCBANK,negative_volume,0,
HDFCBANK,zero_volume,187,
HDFCBANK,intraday_gaps_gt_1min,4,
NYKAA,row_count,277508,
NYKAA,unique_sessions,744,
NYKAA,unsorted_timestamps,0,
NYKAA,duplicate_timestamps,0,
NYKAA,invalid_ohlc,0,
NYKAA,negative_volume,0,
NYKAA,zero_volume,191,
NYKAA,intraday_gaps_gt_1min,4,
HAL,row_count,277510,
HAL,unique_sessions,744,
HAL,unsorted_timestamps,0,
HAL,duplicate_timestamps,0,
HAL,invalid_ohlc,1,
HAL,negative_volume,0,
HAL,zero_volume,187,
HAL,intraday_gaps_gt_1min,4,
RVNL,row_count,277509,
RVNL,unique_sessions,744,
RVNL,unsorted_timestamps,0,
RVNL,duplicate_timestamps,0,
RVNL,invalid_ohlc,0,
RVNL,negative_volume,0,
RVNL,zero_volume,191,
RVNL,intraday_gaps_gt_1min,3,
alignment,timestamp_fallback_dt_tm,0,
alignment,exclusions,2,
alignment,aligned,2528,
