subject_group,conditioning,initial_reaction,horizon,n,mean_return,median_return,ci95_lower,ci95_upper,sample_note
financial_results,price_conditioned_session_close,all,d1,75,-0.0093803319477463,-0.0046436034362665,-0.0189958520150818,0.000235188119589,inferential
financial_results,price_conditioned_session_close,all,d3,75,0.0022863356811588,-0.0051955990220048,-0.0121716103934506,0.0167442817557684,inferential
financial_results,price_conditioned_session_close,all,d5,75,0.004686174422503,0.0014412997903563,-0.0103557735194859,0.0197281223644921,inferential
financial_results,price_conditioned_session_close,all,d10,72,0.0005281398335773,-0.011038063618615,-0.0186035938340232,0.0196598735011779,inferential
financial_results,price_conditioned_session_close,all,d20,71,0.0128445964155968,0.0040401017507107,-0.0098506872886597,0.0355398801198534,inferential
financial_results,price_conditioned_session_close,positive,d1,26,0.0139126438139675,0.0069715955267841,0.0047918318132261,0.0230334558147088,inferential
financial_results,price_conditioned_session_close,positive,d3,26,0.0380612235422806,0.0225175664099485,0.0197903701754865,0.0563320769090747,inferential
financial_results,price_conditioned_session_close,positive,d5,26,0.0357183951069686,0.0243100323937938,0.019088057095009,0.0523487331189283,inferential
financial_results,price_conditioned_session_close,positive,d10,24,0.017212174034481,-0.0003334671373529,-0.0054806905967113,0.0399050386656734,inferential
financial_results,price_conditioned_session_close,positive,d20,24,0.0280609552443767,0.0334424043864102,0.0012684987973712,0.0548534116913821,inferential
financial_results,price_conditioned_session_close,neutral,d1,0,,,,,descriptive
financial_results,price_conditioned_session_close,neutral,d3,0,,,,,descriptive
financial_results,price_conditioned_session_close,neutral,d5,0,,,,,descriptive
financial_results,price_conditioned_session_close,neutral,d10,0,,,,,descriptive
financial_results,price_conditioned_session_close,neutral,d20,0,,,,,descriptive
financial_results,price_conditioned_session_close,negative,d1,49,-0.0217398701070231,-0.0219301279833967,-0.0343856724795276,-0.0090940677345186,inferential
financial_results,price_conditioned_session_close,negative,d3,49,-0.0166962578778036,-0.0175446177779698,-0.0345233843808315,0.0011308686252242,inferential
financial_results,price_conditioned_session_close,negative,d5,49,-0.01177990185905,-0.018465089440277,-0.0316514233032931,0.0080916195851929,inferential
financial_results,price_conditioned_session_close,negative,d10,48,-0.0078138772668745,-0.0260456843843536,-0.0340117178219863,0.0183839632882373,inferential
financial_results,price_conditioned_session_close,negative,d20,47,0.0050745408434538,-0.0169491525423728,-0.0263238992063143,0.0364729808932221,inferential
