scope,symbol,initial_reaction,horizon,n,mean_return,median_return,std_return,standard_error,ci95_lower,ci95_upper,sample_note
pooled,ALL,all,d1,75,-0.009380331947746397,-0.004643603436266575,0.04248614616791608,0.004905877585375227,-0.018995852015081843,0.00023518811958904776,inferential
pooled,ALL,all,d3,75,0.0022863356811588975,-0.005195599022004838,0.06388239075080307,0.007376503099290601,-0.012171610393450681,0.016744281755768475,inferential
pooled,ALL,all,d5,75,0.004686174422503083,0.001441299790356343,0.06646280122533468,0.007674463235708713,-0.010355773519485995,0.01972812236449216,inferential
pooled,ALL,all,d10,72,0.0005281398335773491,-0.011038063618615035,0.08282558334009388,0.009761088605918653,-0.01860359383402321,0.01965987350117791,inferential
pooled,ALL,all,d20,71,0.012844596415596815,0.0040401017507107895,0.09756829573305861,0.011579226379722756,-0.009850687288659786,0.035539880119853415,inferential
pooled,ALL,positive,d1,26,0.01391264381396751,0.006971595526784169,0.023728162434485382,0.0046534755105823175,0.0047918318132261686,0.02303345581470885,inferential
pooled,ALL,positive,d3,26,0.03806122354228064,0.02251756640994851,0.047532366248609875,0.009321863962650032,0.019790370175486578,0.056332076909074706,inferential
pooled,ALL,positive,d5,26,0.035718395106968684,0.024310032393793812,0.043264499000319354,0.008484866332632459,0.019088057095009065,0.052348733118928306,inferential
pooled,ALL,positive,d10,24,0.017212174034481078,-0.00033346713735293854,0.0567203460698704,0.011577992158771642,-0.00548069059671134,0.03990503866567349,inferential
pooled,ALL,positive,d20,24,0.02806095524437673,0.03344240438641022,0.06696719107235194,0.013669620636227276,0.0012684987973712696,0.05485341169138219,inferential
pooled,ALL,neutral,d1,0,,,,,,,descriptive
pooled,ALL,neutral,d3,0,,,,,,,descriptive
pooled,ALL,neutral,d5,0,,,,,,,descriptive
pooled,ALL,neutral,d10,0,,,,,,,descriptive
pooled,ALL,neutral,d20,0,,,,,,,descriptive
pooled,ALL,negative,d1,49,-0.021739870107023166,-0.021930127983396774,0.04516357990180188,0.006451939985971697,-0.034385672479527694,-0.00909406773451864,inferential
pooled,ALL,negative,d3,49,-0.01669625787780366,-0.017544617777969895,0.06366830893938531,0.009095472705626472,-0.034523384380831544,0.0011308686252242267,inferential
pooled,ALL,negative,d5,49,-0.011779901859050096,-0.018465089440277027,0.07096971944372528,0.010138531349103612,-0.03165142330329317,0.008091619585192984,inferential
pooled,ALL,negative,d10,48,-0.007813877266874514,-0.026045684384353618,0.09260406304090242,0.013366245181179523,-0.03401171782198638,0.018383963288237354,inferential
