rank_family,rank,subject_group,horizon,metric,value,signed_mean,n,analysis_status
largest_abs_mean_return_5m,1,regulatory_compliance,5m,abs_mean_return,0.0010612057501612298,-0.0010612057501612298,128,inferential
largest_abs_mean_return_5m,2,corporate_actions,5m,abs_mean_return,0.0004984299609844123,0.0004984299609844123,32,inferential
largest_abs_mean_return_5m,3,strategic_transactions,5m,abs_mean_return,0.0003573543438083572,-0.0003573543438083572,129,inferential
largest_abs_mean_return_5m,4,investor_communication,5m,abs_mean_return,0.00027352886433699096,-0.00027352886433699096,369,inferential
largest_abs_mean_return_5m,5,board_governance,5m,abs_mean_return,0.00022333904268463615,-0.00022333904268463615,350,inferential
largest_abs_mean_return_5m,6,financial_results,5m,abs_mean_return,0.00012127792277380469,0.00012127792277380469,74,inferential
largest_abs_mean_return_5m,7,business_updates,5m,abs_mean_return,9.196201641699268e-05,9.196201641699268e-05,683,inferential
largest_abs_mean_return_5m,8,capital_structure,5m,abs_mean_return,5.691354111393261e-05,-5.691354111393261e-05,297,inferential
largest_abs_mean_return_5m,9,credit_ratings,5m,abs_mean_return,1.4372704918260681e-05,1.4372704918260681e-05,30,inferential
largest_abs_mean_return_30m,1,credit_ratings,30m,abs_mean_return,0.0011432170327398729,0.0011432170327398729,30,inferential
largest_abs_mean_return_30m,2,corporate_actions,30m,abs_mean_return,0.0010975318757595752,-0.0010975318757595752,32,inferential
largest_abs_mean_return_30m,3,investor_communication,30m,abs_mean_return,0.0009974783133568006,-0.0009974783133568006,363,inferential
largest_abs_mean_return_30m,4,business_updates,30m,abs_mean_return,0.0008130841658284717,-0.0008130841658284717,666,inferential
largest_abs_mean_return_30m,5,financial_results,30m,abs_mean_return,0.00046523659063729027,-0.00046523659063729027,72,inferential
largest_abs_mean_return_30m,6,strategic_transactions,30m,abs_mean_return,0.0003568882782825631,0.0003568882782825631,127,inferential
