subject_group,horizon,independent_event_count,analysis_status,n,mean_return,median_return,std_return,standard_error,ci95_lower,ci95_upper
board_governance,5m,352,inferential,350,-0.00022333904268463615,0.0001327719180972,0.005118882969223177,0.000273615803911789,-0.0007596260183517426,0.0003129479329824703
board_governance,30m,352,inferential,344,-3.916269529162098e-05,-0.00043152572619845,0.009283873514436642,0.0005005529135658276,-0.0010202464058806432,0.0009419210152974011
board_governance,60m,352,inferential,337,-0.00023162496190636054,-0.0004157716027994,0.012575326938931587,0.000685021708207257,-0.0015742675099925843,0.0011110175861798633
board_governance,session_close,352,inferential,352,0.00018928237428519624,-0.00066113878451425,0.017459624686383176,0.0009306011226092483,-0.0016346958260289304,0.0020132605745993228
board_governance,d1,352,inferential,352,5.8836469327765816e-05,-0.00203923168459695,0.027876138061058525,0.0014858031509613937,-0.002853337706556566,0.0029710106452120978
board_governance,d5,352,inferential,351,0.000978996691628586,0.0002583979328165,0.04927707452591541,0.002630215656250175,-0.004176225994621756,0.0061342193778789285
board_governance,d10,352,inferential,349,0.004757633137264148,0.0001352447930755,0.066947783820097,0.00358363270670539,-0.0022662869678784165,0.011781553242406713
board_governance,d20,352,inferential,334,0.0017105483343774987,-0.01226708007084085,0.09577124769902919,0.0052403695205645836,-0.008560575925929084,0.011981672594684082
business_updates,5m,688,inferential,683,9.196201641699268e-05,0.0001283532280837,0.007553183725311759,0.0002890145431154494,-0.00047450648808928814,0.0006584305209232735
business_updates,30m,688,inferential,666,-0.0008130841658284717,-0.0006619469211734,0.01197370729068893,0.0004639717331840806,-0.0017224687628692695,9.630043121232627e-05
business_updates,60m,688,inferential,655,-0.0008645801769710718,-0.0005966587112171,0.01467712512973393,0.0005734827337542963,-0.0019886063351294927,0.000259445981187349
business_updates,session_close,688,inferential,687,-0.0017524048603627348,-0.0012541522608635,0.019100079205255853,0.000728713473868267,-0.003180683269144538,-0.0003241264515809316
business_updates,d1,688,inferential,685,-0.001400117393337579,-0.0016204775448112,0.02824434770227092,0.0010791610536648917,-0.0035152730585207665,0.0007150382718456086
business_updates,d5,688,inferential,682,0.0033135610458325106,0.0012058848875531,0.057327475184294575,0.0021951824789398357,-0.0009889966128895675,0.007616118704554588
business_updates,d10,688,inferential,681,0.0060327730049977565,-0.0028392570040708,0.07342046494690785,0.0028134783298978654,0.00051835547839794,0.011547190531597574
business_updates,d20,688,inferential,672,0.013629916591192816,-0.00079793758600105,0.09856865325765297,0.0038023683497269293,0.0061772746257280345,0.021082558556657596
capital_structure,5m,300,inferential,297,-5.691354111393261e-05,-0.000121344497027,0.0030571926981255585,0.00017739631289819086,-0.0004046103143943867,0.0002907832321665215
capital_structure,30m,300,inferential,288,0.00025347495591891776,0.0,0.0058421173598079915,0.00034425006680065674,-0.0004212551750103694,0.0009282050868482049
capital_structure,60m,300,inferential,277,0.00011356277632969108,0.0002511300853842,0.007144308717418841,0.0004292599081812715,-0.000727786643705601,0.0009549121963649831
capital_structure,session_close,300,inferential,300,-0.000955323971309851,-0.0009435303988787,0.01107577491204031,0.0006394601626950176,-0.0022086658901920853,0.00029801794757238344
capital_structure,d1,300,inferential,300,-0.0005910138093551184,-0.0003575115493907,0.01854901615225391,0.001070927946870651,-0.0026900325852215945,0.0015080049665113573
capital_structure,d5,300,inferential,299,0.0006374028363634886,0.0013583041778144,0.032563237998673875,0.001883180676780357,-0.003053631290126011,0.004328436962852988
capital_structure,d10,300,inferential,298,0.007162414543720049,0.0026088244776688004,0.05626451851529789,0.0032593160458042796,0.0007741550939436605,0.013550673993496437
capital_structure,d20,300,inferential,297,0.010386842442898326,0.0012950317871438,0.08143455130774417,0.004725311935152038,0.0011252310500003328,0.019648453835796317
corporate_actions,5m,32,inferential,32,0.0004984299609844123,-0.0002011263073209,0.005769724350162296,0.0010199528033942263,-0.0015006775336682712,0.0024975374556370955
corporate_actions,30m,32,inferential,32,-0.0010975318757595752,-0.0014437679252631498,0.006754342014632734,0.0011940102602500033,-0.0034377919858495816,0.0012427282343304312
corporate_actions,60m,32,inferential,32,-0.001140324502029947,-0.0014337687056536499,0.0086004029479093,0.0015203508113508597,-0.0041202120922776315,0.001839563088217738
corporate_actions,session_close,32,inferential,32,-0.002897300227672719,-0.00250023629060105,0.012570565944368579,0.0022221831056539244,-0.00725277911475441,0.0014581786594089724
corporate_actions,d1,32,inferential,32,0.007235370218042473,0.00638345715887915,0.03580847739006751,0.006330104296620475,-0.0051716342033336585,0.019642374639418606
corporate_actions,d5,32,inferential,32,0.017569053043487326,0.00018489420126020003,0.07925147209920856,0.01400981333509171,-0.009890181093292427,0.04502828718026708
corporate_actions,d10,32,inferential,32,0.02532851551998743,-0.0020733181550415002,0.12053333806479266,0.021307485176166374,-0.016434155425298663,0.06709118646527353
corporate_actions,d20,32,inferential,31,-0.00211417622602666,-0.0461215932914046,0.12662870484056699,0.022743186778149366,-0.04669082231119941,0.0424624698591461
credit_ratings,5m,32,inferential,30,1.4372704918260681e-05,0.000380722677179,0.005260417814939257,0.0009604164997147558,-0.0018680436345226605,0.0018967890443591818
credit_ratings,30m,32,inferential,30,0.0011432170327398729,-2.7554824351294638e-05,0.010156827262755616,0.0018543744681649005,-0.002491356924863332,0.004777790990343078
credit_ratings,60m,32,inferential,30,0.002547754799264573,0.0011497634281979001,0.0129038980827789,0.0023559186865618896,-0.0020698458263967304,0.007165355424925877
credit_ratings,session_close,32,inferential,31,0.003920000907554522,0.0023968198292996,0.014018649707280369,0.0025178238146836506,-0.0010149337692254333,0.008854935584334478
credit_ratings,d1,32,inferential,31,0.0003000569363398555,0.0013079786698864,0.022310025315075623,0.004006998834939151,-0.00755366078014088,0.008153774652820592
credit_ratings,d5,32,inferential,31,0.003447322808877341,0.0002013693113169,0.037378481247784236,0.00671337341381043,-0.009710889082191101,0.016605534699945784
credit_ratings,d10,32,inferential,31,-0.004484994141338942,0.0007683442182098,0.0583272863162021,0.010475889875223653,-0.025017738296777302,0.016047750014099416
credit_ratings,d20,32,inferential,31,0.020402198246844284,0.0181371486379073,0.06910111108891226,0.012410925927509812,-0.0039232165710749445,0.04472761306476351
financial_results,5m,75,inferential,74,0.00012127792277380469,-0.0006488245285605,0.011639678661063793,0.0013530851600854858,-0.0025307689909937476,0.002773324836541357
financial_results,30m,75,inferential,72,-0.00046523659063729027,-0.0014077663096622,0.02001876144887337,0.0023592336619090324,-0.005089334567978994,0.004158861386704414
financial_results,60m,75,inferential,70,-0.002175351797192773,-0.0008413761122221,0.01926455662881977,0.0023025549228907925,-0.006688359446058726,0.0023376558516731804
financial_results,session_close,75,inferential,75,-0.004988947756086459,-0.0063286713286713,0.02339326941246982,0.0027012220785029776,-0.010283343029952294,0.000305447517779377
financial_results,d1,75,inferential,75,-0.009380331947746389,-0.0046436034362665,0.04248614616791605,0.0049058775853752234,-0.018995852015081825,0.0002351881195890495
financial_results,d5,75,inferential,75,0.004686174422503081,0.0014412997903563,0.06646280122533464,0.007674463235708708,-0.010355773519485988,0.01972812236449215
financial_results,d10,75,inferential,72,0.000528139833577363,-0.011038063618615,0.08282558334009386,0.009761088605918651,-0.018603593834023192,0.01965987350117792
financial_results,d20,75,inferential,71,0.01284459641559681,0.0040401017507107,0.0975682957330586,0.011579226379722755,-0.009850687288659787,0.03553988011985341
investor_communication,5m,370,inferential,369,-0.00027352886433699096,-0.0001914241960184,0.006461000833589097,0.00033634626858234295,-0.0009327675507583832,0.00038570982208440123
investor_communication,30m,370,inferential,363,-0.0009974783133568006,-0.0006965405154399,0.012269410963164959,0.0006439770656710396,-0.0022596733620720384,0.00026471673535843703
investor_communication,60m,370,inferential,356,-0.0014487424723719675,-0.0012411630290959,0.01499946381784278,0.0007949699924072725,-0.0030068836574902217,0.0001093987127462866
investor_communication,session_close,370,inferential,370,-0.0021097978638794737,-0.0019606568632345002,0.02027905208574726,0.001054257716962124,-0.004176142989125237,-4.345273863371043e-05
investor_communication,d1,370,inferential,370,-0.0004924417953141208,-0.0012012758034722001,0.029024987420592663,0.0015089372443791336,-0.0034499587942972225,0.002465075203668981
investor_communication,d5,370,inferential,365,0.00659722226359209,0.0003752345215759,0.06193759579279379,0.0032419619345671244,0.00024297687184052577,0.012951467655343654
investor_communication,d10,370,inferential,360,0.012840025456433363,0.002799107848424,0.07800464042073181,0.0041112055298657925,0.0047820626178964095,0.02089798829497032
investor_communication,d20,370,inferential,351,0.018547299983505232,0.0046234676007004,0.09069350817971136,0.0048408613423079165,0.009059211752581715,0.028035388214428747
regulatory_compliance,5m,128,inferential,128,-0.0010612057501612298,-0.00015713640068135002,0.006635917186129825,0.000586537755213094,-0.0022108197503788937,8.840825005643443e-05
