subject_group,horizon,total_events,usable_events,missing_events,missing_rate
board_governance,5m,352,350,2,0.005681818181818182
board_governance,30m,352,344,8,0.022727272727272728
board_governance,60m,352,337,15,0.04261363636363636
board_governance,session_close,352,352,0,0.0
board_governance,d1,352,352,0,0.0
board_governance,d5,352,351,1,0.002840909090909091
board_governance,d10,352,349,3,0.008522727272727272
board_governance,d20,352,334,18,0.05113636363636364
business_updates,5m,688,683,5,0.007267441860465116
business_updates,30m,688,666,22,0.03197674418604651
business_updates,60m,688,655,33,0.04796511627906977
business_updates,session_close,688,687,1,0.0014534883720930232
business_updates,d1,688,685,3,0.00436046511627907
business_updates,d5,688,682,6,0.00872093023255814
business_updates,d10,688,681,7,0.010174418604651164
business_updates,d20,688,672,16,0.023255813953488372
capital_structure,5m,300,297,3,0.01
capital_structure,30m,300,288,12,0.04
capital_structure,60m,300,277,23,0.07666666666666666
capital_structure,session_close,300,300,0,0.0
capital_structure,d1,300,300,0,0.0
capital_structure,d5,300,299,1,0.0033333333333333335
capital_structure,d10,300,298,2,0.006666666666666667
capital_structure,d20,300,297,3,0.01
corporate_actions,5m,32,32,0,0.0
corporate_actions,30m,32,32,0,0.0
corporate_actions,60m,32,32,0,0.0
corporate_actions,session_close,32,32,0,0.0
corporate_actions,d1,32,32,0,0.0
corporate_actions,d5,32,32,0,0.0
corporate_actions,d10,32,32,0,0.0
corporate_actions,d20,32,31,1,0.03125
credit_ratings,5m,32,30,2,0.0625
credit_ratings,30m,32,30,2,0.0625
credit_ratings,60m,32,30,2,0.0625
credit_ratings,session_close,32,31,1,0.03125
credit_ratings,d1,32,31,1,0.03125
credit_ratings,d5,32,31,1,0.03125
credit_ratings,d10,32,31,1,0.03125
credit_ratings,d20,32,31,1,0.03125
financial_results,5m,75,74,1,0.013333333333333334
financial_results,30m,75,72,3,0.04
financial_results,60m,75,70,5,0.06666666666666667
financial_results,session_close,75,75,0,0.0
financial_results,d1,75,75,0,0.0
financial_results,d5,75,75,0,0.0
financial_results,d10,75,72,3,0.04
financial_results,d20,75,71,4,0.05333333333333334
investor_communication,5m,370,369,1,0.002702702702702703
investor_communication,30m,370,363,7,0.01891891891891892
investor_communication,60m,370,356,14,0.03783783783783784
investor_communication,session_close,370,370,0,0.0
investor_communication,d1,370,370,0,0.0
investor_communication,d5,370,365,5,0.013513513513513514
investor_communication,d10,370,360,10,0.02702702702702703
investor_communication,d20,370,351,19,0.051351351351351354
regulatory_compliance,5m,128,128,0,0.0
regulatory_compliance,30m,128,123,5,0.0390625
regulatory_compliance,60m,128,115,13,0.1015625
regulatory_compliance,session_close,128,128,0,0.0
regulatory_compliance,d1,128,128,0,0.0
regulatory_compliance,d5,128,127,1,0.0078125
regulatory_compliance,d10,128,127,1,0.0078125
regulatory_compliance,d20,128,121,7,0.0546875
strategic_transactions,5m,129,129,0,0.0
strategic_transactions,30m,129,127,2,0.015503875968992248
strategic_transactions,60m,129,125,4,0.031007751937984496
strategic_transactions,session_close,129,129,0,0.0
strategic_transactions,d1,129,129,0,0.0
strategic_transactions,d5,129,129,0,0.0
strategic_transactions,d10,129,129,0,0.0
strategic_transactions,d20,129,127,2,0.015503875968992248
