subject_group,horizon,independent_event_count,analysis_status,n,mean_range,median_range,std_range,standard_error,ci95_lower,ci95_upper
board_governance,5m,352,inferential,350,0.010231310809930961,0.0081470716098678,0.00892270793460569,0.00047693880076491195,0.009296510760431734,0.011166110859430188
board_governance,30m,352,inferential,344,0.014840597052022004,0.01220984806443655,0.012033335753230415,0.000648793982579461,0.01356896084616626,0.016112233257877747
board_governance,60m,352,inferential,337,0.017434631134418874,0.0135086325218523,0.01472773480138485,0.0008022708356340574,0.01586218029657612,0.019007081972261627
board_governance,session_close,352,inferential,352,0.02442990953006252,0.01990470616962895,0.020092074304492624,0.0010709111586969951,0.02233092365901641,0.026528895401108633
business_updates,5m,688,inferential,683,0.0121123238736259,0.0081714461917976,0.011579580285388979,0.0004430803257751057,0.011243886435106694,0.012980761312145107
business_updates,30m,688,inferential,666,0.016703732623467464,0.0116826742323501,0.014804481870945402,0.0005736620201076943,0.015579355064056383,0.017828110182878543
business_updates,60m,688,inferential,655,0.01910377198746984,0.013595603124096,0.016990013469587194,0.0006638547593576191,0.017802616659128908,0.020404927315810773
business_updates,session_close,688,inferential,687,0.026416609130305687,0.0189526884739577,0.022945674423998697,0.0008754320827717402,0.024700762248073077,0.028132456012538297
capital_structure,5m,300,inferential,297,0.006457997566310501,0.0054117647058824,0.004683042458830976,0.0002717376846581013,0.005925391704380623,0.0069906034282403795
capital_structure,30m,300,inferential,288,0.009716230228289248,0.0076956743689398505,0.0064320797679217065,0.0003790139350858528,0.008973362915520977,0.010459097541057519
capital_structure,60m,300,inferential,277,0.01144338457735243,0.0091804151144225,0.007381551816065797,0.0004435144644679469,0.010574096226995254,0.012312672927709607
capital_structure,session_close,300,inferential,300,0.01741136035397859,0.01482639882452535,0.011053866751983952,0.0006381952944844188,0.01616049757678913,0.01866222313116805
corporate_actions,5m,32,inferential,32,0.011145191894391572,0.0095820179062875,0.006323043834181108,0.0011177667932223123,0.00895436897967584,0.013336014809107304
corporate_actions,30m,32,inferential,32,0.01587206730346722,0.0152970338891984,0.008243608067130667,0.0014572777914280556,0.013015802832268232,0.01872833177466621
corporate_actions,60m,32,inferential,32,0.01863696401098399,0.01699490551083135,0.009441091884978397,0.001668965023418377,0.015365792565083972,0.02190813545688401
corporate_actions,session_close,32,inferential,32,0.023465085437643286,0.02013947948960345,0.010980945113473526,0.001941175188393603,0.019660382068391824,0.02726978880689475
credit_ratings,5m,32,inferential,30,0.009029484846743457,0.0061497646325726005,0.008641039231681334,0.001577630702492992,0.005937328669857193,0.012121641023629722
credit_ratings,30m,32,inferential,30,0.01286812481350431,0.00791591244690375,0.012109688649580796,0.002210916545913225,0.008534728383514389,0.017201521243494233
credit_ratings,60m,32,inferential,30,0.015070709216627903,0.009137605166100151,0.014777429475336933,0.00269797715519459,0.009782673992446506,0.0203587444408093
credit_ratings,session_close,32,inferential,31,0.021916572755607662,0.0144115292233786,0.016801068026443947,0.0030175608972618563,0.016002153396974424,0.0278309921142409
financial_results,5m,75,inferential,74,0.02405837058636104,0.01992544492544485,0.014306426334715575,0.0016630882802730787,0.020798717557025805,0.027318023615696272
financial_results,30m,75,inferential,72,0.031122210852810504,0.025890172788475448,0.01737049102322555,0.0020471319991771397,0.02710983213442331,0.035134589571197694
financial_results,60m,75,inferential,70,0.033494017762448286,0.0280837088367351,0.018146146018493983,0.0021688792870463405,0.02924301435983746,0.037745021165059116
financial_results,session_close,75,inferential,75,0.0397488920176878,0.0319066147859923,0.023212558288337102,0.002680355355270261,0.03449539552135809,0.045002388514017506
investor_communication,5m,370,inferential,369,0.011776693370326398,0.0083663584324087,0.01047678244511632,0.0005453995089807748,0.01070771033272408,0.012845676407928715
investor_communication,30m,370,inferential,363,0.0164819091543545,0.0116248348745044,0.01505500944754716,0.0007901830688357921,0.014933150339436348,0.018030667969272652
investor_communication,60m,370,inferential,356,0.01927036808177121,0.0129751779958736,0.017387897571042078,0.000921556728153617,0.017464116894590122,0.0210766192689523
investor_communication,session_close,370,inferential,370,0.027289296406568672,0.020092748879000102,0.024472027524704617,0.0012722401302850965,0.024795705751209884,0.02978288706192746
regulatory_compliance,5m,128,inferential,128,0.009776434165651144,0.007688231217642999,0.009010078873959184,0.0007963859838502739,0.008215517637304607,0.011337350693997682
regulatory_compliance,30m,128,inferential,123,0.014400228381743893,0.0107274063188831,0.012953976181662507,0.001168020697121025,0.012110907815386684,0.016689548948101103
regulatory_compliance,60m,128,inferential,115,0.01765403840509746,0.0125566343042071,0.017315338998765337,0.0016146636872659697,0.014489297578056158,0.02081877923213876
regulatory_compliance,session_close,128,inferential,128,0.025787191840367887,0.01993491494134235,0.024419258980673108,0.0021583779520980566,0.021556771054255696,0.03001761262648008
strategic_transactions,5m,129,inferential,129,0.014563588786940855,0.0096319229446164,0.015744625057879193,0.0013862369401966862,0.01184656438415535,0.01728061318972636
strategic_transactions,30m,129,inferential,127,0.019923403035568107,0.0137292464878671,0.019184893465703276,0.001702384009924647,0.0165867303761158,0.023260075695020414
strategic_transactions,60m,129,inferential,125,0.022421306254903343,0.0148777124609913,0.02170632621663906,0.0019414728384876303,0.018616019491467586,0.0262265930183391
strategic_transactions,session_close,129,inferential,129,0.03374313368045802,0.0230096640589048,0.03417346900160994,0.003008806175475808,0.027845873576525435,0.039640393784390604
