subject_group,horizon,independent_event_count,analysis_status,n,mean_volume_ratio,median_volume_ratio,std_volume_ratio,standard_error,ci95_lower,ci95_upper
board_governance,5m,352,inferential,349,2.1248077004137165,1.076786677973942,4.850534794170046,0.25964317474811205,1.615907077907417,2.633708322920016
board_governance,30m,352,inferential,343,1.7827720218877816,1.0330011455671355,3.288553792791365,0.17756521446498336,1.4347442015364142,2.130799842239149
board_governance,60m,352,inferential,336,1.6727690063922709,1.0654581810404944,2.6640708333315466,0.14533697917221305,1.3879085272147333,1.9576294855698084
board_governance,session_close,352,inferential,351,1.3834342979901293,1.0048676480562966,1.5847582859429628,0.08458813951845368,1.2176415445339601,1.5492270514462985
business_updates,5m,688,inferential,677,2.9668930154668924,1.3321236637327332,5.207330616749019,0.200133973414855,2.574630427573777,3.359155603360008
business_updates,30m,688,inferential,660,2.4553648975459303,1.2664294596222416,3.716638928127812,0.14466997406885582,2.171811748370973,2.7389180467208876
business_updates,60m,688,inferential,649,2.2118303410660953,1.2426803958613315,3.092883256424818,0.12140628753535412,1.9738740174968012,2.4497866646353894
business_updates,session_close,688,inferential,681,1.704801730172731,1.1555175398243658,1.7741941840301942,0.06798726885493529,1.5715466832170577,1.8380567771284042
capital_structure,5m,300,inferential,294,1.2685607897321536,0.9909286228381549,1.3253568349047002,0.07729638030063431,1.1170598843429103,1.420061695121397
capital_structure,30m,300,inferential,285,1.324320584254609,0.9748759521321168,1.8984696250701383,0.11245563518700212,1.1039075392880848,1.5447336292211333
capital_structure,60m,300,inferential,275,1.2393595517087326,0.9735120853206788,1.3519320810142783,0.08152457190488581,1.0795713907751563,1.3991477126423089
capital_structure,session_close,300,inferential,297,1.1691765245364973,0.971732430510062,0.9522175599074685,0.05525326692951547,1.060880121354647,1.2774729277183476
corporate_actions,5m,32,inferential,31,2.0684676133967765,1.7374804595848077,1.4633111102353638,0.26281843391295784,1.5533434829273793,2.5835917438661737
corporate_actions,30m,32,inferential,31,1.8779122805697148,1.465195673511433,1.3153882945915685,0.23625071193260302,1.414860885181813,2.340963675957617
corporate_actions,60m,32,inferential,31,1.808355994893396,1.388504775189874,1.3286268169159896,0.2386284207330689,1.3406442902565812,2.276067699530211
corporate_actions,session_close,32,inferential,31,1.3180530885870523,1.0788426343796491,0.6537202666220218,0.11741162592767204,1.087926301768815,1.5481798754052896
credit_ratings,5m,32,inferential,30,1.3229858462745416,0.7646209682808385,1.3648163755011518,0.24918023857147398,0.8345925786744526,1.8113791138746307
credit_ratings,30m,32,inferential,30,1.0749680417723988,0.733279897381439,0.8515193522542915,0.155465452460621,0.7702557549495817,1.379680328595216
credit_ratings,60m,32,inferential,30,1.073489546949464,0.8219699041803276,0.8062344858493178,0.14719760484608366,0.78498224145114,1.3619968524477881
credit_ratings,session_close,32,inferential,31,1.094649230528634,0.8568691740900654,0.862061510737037,0.15483081800158338,0.7911808272455305,1.3981176338117374
financial_results,5m,75,inferential,74,15.574006542715155,6.321970347390158,24.219009322962744,2.8154026465089643,10.055817355557586,21.092195729872724
financial_results,30m,75,inferential,72,9.220972191489714,4.194292981531681,11.411617026350179,1.344871963939346,6.5850231421685965,11.856921240810832
financial_results,60m,75,inferential,70,6.411268915766399,3.135812009755367,6.902063911789334,0.824954425082507,4.794358242604686,8.028179588928113
financial_results,session_close,75,inferential,75,3.8726352275936846,2.327594879102219,4.002788981307616,0.462202259173444,2.9667187996137345,4.778551655573635
investor_communication,5m,370,inferential,364,3.913147838530079,1.2358405749628458,8.313899317881626,0.43576672944840045,3.059045048811214,4.767250628248944
investor_communication,30m,370,inferential,358,3.216809001115168,1.337348714160927,5.698257470029457,0.301162265300936,2.6265309611253334,3.8070870411050026
investor_communication,60m,370,inferential,353,2.846247964597823,1.236073662943964,4.4320464236786945,0.23589402900985373,2.3838956677385097,3.308600261457136
investor_communication,session_close,370,inferential,365,1.9428992121654336,1.1735890319149314,2.349948052013627,0.12300190272682043,1.7018154828208656,2.183982941510002
regulatory_compliance,5m,128,inferential,126,2.692920034542261,1.2423671117157054,4.563648356380031,0.4065621091259071,1.8960583006554832,3.489781768429039
regulatory_compliance,30m,128,inferential,122,2.2267424406414893,1.1502001955591914,3.342809646178933,0.3026437651949371,1.6335606608594126,2.819924220423566
regulatory_compliance,60m,128,inferential,114,2.0017727105248313,1.197683482168897,2.6961326753319352,0.25251596098576845,1.5068414269927253,2.4967039940569373
regulatory_compliance,session_close,128,inferential,126,1.647658888530227,1.046584752282252,1.9344343587691468,0.17233310970756882,1.3098859935033922,1.9854317835570618
strategic_transactions,5m,129,inferential,128,3.4848530530569226,1.775335166119821,6.151838930058013,0.543750878026427,2.419101332125126,4.550604773988719
strategic_transactions,30m,129,inferential,126,2.7224570179845102,1.4852281743925115,4.0206365478365385,0.358186772351092,2.02041094417637,3.4245030917926504
strategic_transactions,60m,129,inferential,124,2.461139667082151,1.3795271685183548,3.4265312515757604,0.3077115901717238,1.8580249503455724,3.0642543838187297
strategic_transactions,session_close,129,inferential,128,2.1733699699031295,1.2455099738716404,2.8336893723234184,0.25046512136826754,1.682458332021325,2.664281607784934
